title	id	price	condition	availability	channel	feed label	language	adult	all clicks	custom label 0	custom label 1	description	google product category	gtin	image link	link	product detail(attribute name:attribute value:section name)	product height	product type	product weight	product width	shipping(country:price:service)
La douce joie d'être trompée - Catherine Laborde - Livre d'occasion	201229	2.50 EUR	used	in stock	Online	FR-BE	fr	no	203			"
«On ne peut rien éprouver de plus doux, de plus heureux, de plus voluptueux que l'amour. On ne peut rien connaître de plus dévastateur, de plus douloureux que la tromperie de l'aimé. Le paradoxe est que derrière cette douleur se cache la joie, et c'est l'amour qui la fait naître.»

Ni confession ni récit, ce livre est «une tentative pour mettre en mots les douleurs et les joies inattendues de l'infidélité de l'homme aimé».

Voici donc un petit traité de l'art d'aimer, où l'infidélité de l'amant, au lieu d'éloigner de l'amour, y ramène.

Et du Doute à l'Aveu, de la Colère à la Rupture en passant par la Souffrance, la Jalousie et l'Enfer, jusqu'à la Liberté, le Plaisir et le Pari, on égrène les chapitres tel un chapelet de sentiments confus et contradictoires menant à la Douce Joie, la joie d'aimer.
"	784	9782843374166	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782843374166.jpg&w=640&q=70	https://bookvillage.app/produit-la-douce-joie-d'%C3%AAtre-tromp%C3%A9e-9782843374166-201229	Format:Livres brochés:General	21 cm	Livres d'occasion	309 g	14 cm	FR:4.815 EUR:Standard,BE:4.815 EUR:Standard
Les secrets de la femme de ménage - Freida McFadden - Livre d'occasion	785210	4.99 EUR	used	in stock	Online	FR-BE	fr	no	771	meilleures ventes	paru cette année	"
 Les secrets de la femme de ménage 

Avec ce nouvel emploi, Millie semble avoir une chance en or. Chez les Garrick, un couple fortuné qui possède un somptueux appartement avec vue sur Manhattan, elle fait le ménage et prépare les repas dans la magnifique cuisine. Mais elle ne tarde pas à déceler quelques ombres au tableau... Son patron, Douglas Garrick, est d'humeur de plus en plus changeante. Et pourquoi sa femme Wendy reste-t-elle toujours enfermée dans la chambre d'amis ? Le jour où Millie découvre du sang sur une chemise de nuit, elle ne peut plus rester les bras croisés. Quelque chose se trame dans cette maison. Et cela pourrait bien se retourner contre elle si elle continue à fouiner dans les secrets des autres...
"	784	9782290391198	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782290391198.jpg&w=640&q=70	https://bookvillage.app/produit-les-secrets-de-la-femme-de-m%C3%A9nage-9782290391198-785210	Format:Livres de poche:General	18 cm	Livres d'occasion	222 g	11 cm	FR:4.9395 EUR:Standard,BE:4.9395 EUR:Standard
Captive. Vol. 1 - Sarah Rivens - Livre d'occasion	400663	8.99 EUR	used	in stock	Online	FR-BE	fr	no	211	meilleures ventes		"
Au sein des réseaux criminels. Là où règnent puissance, meurtre et pouvoir, il y avait elles. Les captives, Dangereuses, malignes, et mortelles, elles sont les ombres des plus grands réseaux, les représentantes de leurs chefs, aussi appelés possesseurs.

Depuis son adolescence. Ella est une captive contre son gré. John, son possesseur, préfère utiliser son corps plutôt que ses talents, plongeant sa vie dans un cauchemar éveillé. Jusqu'au jour où il lui annonce qu'elle va travailler pour quelqu'un d'autre...

Si Ella pensait qu'il ne pouvait y avoir pire que John, elle réalise très vite que son nouveau possesseur joue dans une tout autre catégorie. Ce certain « Ash », leader charismatique du réseau des Scott, refuse la présence d'une captive à ses côtés. Pour une raison obscure, il voue une haine viscérale à ces femmes. Un jeu dangereux s'installe alors entre eux, car Asher entend bien faire payer Ella, mais celle-ci ne compte pas céder...

« 
Ne joue pas avec le diable, mon ange, ne t'aventure pas dans ce que tu regretteras. 
»
"	784	9782017206934	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782017206934.jpg&w=640&q=70	https://bookvillage.app/produit-captive.-vol.-1-9782017206934-400663	Format:Livres brochés:General	22 cm	Livres d'occasion	535 g	14 cm	FR:5.1395 EUR:Standard,BE:5.1395 EUR:Standard
Un animal sauvage - Joël Dicker - Livre d'occasion	647832	6.74 EUR	used	in stock	Online	FR-BE	fr	no	237	meilleures ventes	paru cette année	Broché 416 pages	784	9782889730476	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782889730476.jpg&w=640&q=70	https://bookvillage.app/produit-un-animal-sauvage-9782889730476-647832	Format:Livres brochés:General	23 cm	Livres d'occasion	478 g	16 cm	FR:5.027 EUR:Standard,BE:5.027 EUR:Standard
Jacaranda - Gaël Faye - Livre d'occasion	747987	8.99 EUR	used	in stock	Online	FR-BE	fr	no	315		paru cette année	Broché 288 pages	784	9782246831457	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782246831457.jpg&w=640&q=70	https://bookvillage.app/produit-jacaranda-9782246831457-747987	Format:Livres brochés:General	21 cm	Livres d'occasion	304 g	15 cm	FR:5.1395 EUR:Standard,BE:5.1395 EUR:Standard
Damnés - Lauren Kate - Livre d'occasion	5505	5.46 EUR	used	in stock	Online	FR-BE	fr	no	114			"
 Mon ange, ma malédiction 

Lorsque Luce entre à Sword &amp; Cross, un lycée d'éducation surveillée, elle est d'emblée attirée par le ténébreux Daniel. Dans cet endroit sinistre où les portables sont interdits, où les élèves ont un passé lourd et où des caméras surveillent les moindres faits et gestes de chacun, Daniel devient une obsession. Mais le jeune homme évite Luce, qui est aussi courtisée par Cam, un beau brun aux yeux verts. Malgré sa fascination pour Daniel, Luce n'arrive pas à résister à Cam. Ce dilemme perturbe la jeune fille, déjà déstabilisée par la présence incessante d'ombres, qui la poursuivent et l'inquiètent depuis l'enfance. Tout est conçu pour que l'ordre règne à Sword &amp; Cross, pourtant ce lieu deviendra le théâtre de drames troubles et mystérieux...
"	784	9782747033664	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782747033664.jpg&w=640&q=70	https://bookvillage.app/produit-damn%C3%A9s-9782747033664-5505	Format:Livres brochés:General	22 cm	Livres d'occasion	460 g	14 cm	FR:4.963 EUR:Standard,BE:4.963 EUR:Standard
Quand arrivent les chevaux - Marc Lavoine - Livre d'occasion	849451	7.99 EUR	used	in stock	Online	FR-BE	fr	no	170		paru cette année	Broché 200 pages	784	9782213701516	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782213701516.jpg&w=640&q=70	https://bookvillage.app/produit-quand-arrivent-les-chevaux-9782213701516-849451	Format:Livres brochés:General	22 cm	Livres d'occasion	284 g	14 cm	FR:5.0895 EUR:Standard,BE:5.0895 EUR:Standard
Le tatoueur d'Auschwitz - Heather Morris - Livre d'occasion	187216	3.36 EUR	used	in stock	Online	FR-BE	fr	no	485	meilleures ventes		"
 Le tatoueur d'Auschwitz 

 L'histoire vraie d'un homme et d'une femme qui ont trouvé l'amour au coeur de l'enfer. 

Sous un ciel de plomb, des prisonniers défilent à l'entrée du camp d'Auschwitz. Bientôt, ils ne seront plus que des numéros tatoués sur le bras. C'est Lale, un déporté, qui est chargé de cette sinistre tâche. Il travaille le regard rivé au sol pour éviter de voir la douleur dans les yeux de ceux qu'il marque à jamais.

Un jour, pourtant, il lève les yeux sur Gita, et la jeune femme devient sa lumière dans ce monde d'une noirceur infinie. Ils savent d'emblée qu'ils sont faits l'un pour l'autre. Dans cette prison où l'on se bat pour un morceau de pain et pour sauver sa vie, il n'y a pas de place pour l'amour.

Ils doivent se contenter de minuscules moments de joie, qui leur font oublier le cauchemar du quotidien. Mais Lale fait une promesse à Gita : un jour, ils seront libres et heureux de vivre ensemble.
"	784	9782290233795	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782290233795.jpg&w=640&q=70	https://bookvillage.app/produit-le-tatoueur-d'auschwitz-9782290233795-187216	Format:Livres de poche:General	18 cm	Livres d'occasion	172 g	11 cm	FR:4.858 EUR:Standard,BE:4.858 EUR:Standard
Les sept soeurs. Vol. 3. La soeur de l'ombre : Star - Lucinda Riley - Livre d'occasion	71273	3.99 EUR	used	in stock	Online	FR-BE	fr	no	113	meilleures ventes		"
 Les sept soeurs - Tome 3 

 La Soeur de l'ombre 

À la mort de leur père, énigmatique milliardaire qui les a ramenées des quatre coins du monde et adoptées lorsqu'elles étaient bébés, Star d'Aplièse et ses soeurs se retrouvent dans la maison de leur enfance, Atlantis, une magnifique demeure sur les bords du lac de Genève. Pour héritage, elles reçoivent chacune un indice qui leur permettra peut-être de percer le mystère de leurs origines.

Mais Star, la plus énigmatique, hésite à sortir du cocon qu'elle s'est créé avec sa soeur CeCe. Elle décide pourtant de suivre le premier indice, qui l'entraîne dans une librairie de livres anciens à Londres et sur la piste d'une certaine Flora MacNichol, une femme indépendante et exemplaire qui a connu Beatrix Potter.

 La Soeur de l'ombre
 est le troisième tome de la série événement 
Les Sept Soeurs
 qui a conquis 20 millions de lecteurs dans le monde. À travers ses romans au souffle unique, peuplés de personnages inoubliables, liés par les drames et l'amour, Lucinda Riley a affirmé son immense talent, créant un genre littéraire à part entière.
"	784	9782253262343	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782253262343.jpg&w=640&q=70	https://bookvillage.app/produit-les-sept-soeurs.-vol.-3.-la-soeur-de-l'ombre-%3A-star-9782253262343-71273	Format:Livres de poche:General	18 cm	Livres d'occasion	365 g	11 cm	FR:4.8895 EUR:Standard,BE:4.8895 EUR:Standard
Le livre des pourquoi : 100 questions pour tous les jours - Dr Good - Livre d'occasion	703900	3.37 EUR	used	in stock	Online	FR-BE	fr	no	206			"
 Dr. Good kids 

 Le livre des pourquoi 

 100 questions pour tous les jours 

 Faut-il faire son lit tous les matins ? Pourquoi est-on allergique aux poils de chat ? L'eau de mer aide-t-elle à cicatriser ? 

Autant de questions qui poussent à s'interroger ! Sur un ton humoristique et décalé, Dr Good répond à 100 questions inédites sur la vie de tous les jours.

Avec Dr Good, alias Michel Cymes, C'est fou ce que tu vas apprendre en t'amusant !
"	784	9782324031243	https://bookvillage.app/_next/image/?url=https://bookvillage.s3.eu-west-3.amazonaws.com/photos/books/covers/9782324031243.jpg&w=640&q=70	https://bookvillage.app/produit-le-livre-des-pourquoi-%3A-100-questions-pour-tous-les-jours-9782324031243-703900	Format:Livres brochés:General	24 cm	Livres d'occasion	226 g	19 cm	FR:4.8585 EUR:Standard,BE:4.8585 EUR:Standard
